economic_area,state,abbr,workforce_share,workforce_growth,industry_feasibility,clean_electric_capacity_growth,industrial_electricity_price,datacenter_mw,semiconductor_manufacturing,battery_manufacturing,solar_manufacturing,ev_manufacturing
"Abilene, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,661.98,0,0,264.924,0
"Alamogordo, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,79.2,0
"Albany, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,191.4,0
"Albany, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,6.93,25100,0,315.15000000000003,0
"Albuquerque, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,3.3,7597.5,0,427.35,0
"Alexandria, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,0,0,0,94.24800000000002,0
"Aliceville, AL",NA,US,NA,NA,NA,NA,NA,0,50,0,0,0
"Alpena, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,0,0,0,6.6000000000000005,0
"Alton, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,73.92,0
"Alton, IL",Missouri,MO,NA,NA,NA,1279,NA,0,0,0,194.502,0
"Altoona, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,0,0,75.9,0
"Altus, OK",Oklahoma,OK,NA,NA,NA,2869.6000000000004,NA,0,0,0,145.2,0
"Americus, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,53.98800000000001,0
"Ames, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0,0,0,67.584,0
"Anamosa, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0.132,0,0,0,0
"Anchorage, AK",Alaska,AK,NA,NA,NA,NA,NA,0.066,0,0,0,0
"Appleton, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,14.058000000000002,0,0,0,0
"Ardmore, OK",Oklahoma,OK,NA,NA,NA,2869.6000000000004,NA,0,0,0,3.3000000000000003,0
"Asheville, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,1.3662,0,0,4.554,0
"Atlanta, GA",Georgia,GA,NA,NA,NA,4089.5,NA,1234.8336000000002,343,0,143.88,0
"Augusta, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,1.98,0
"Austin, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,180.93900000000002,37611.8,0,426.954,0
"Baltimore, MD-Washington, DC",NA,DC,NA,NA,NA,NA,NA,2.244,0,0,10.23,0
"Baltimore, MD-Washington, DC",Maryland,MD,NA,NA,NA,571.5,NA,31.4952,0,0,234.168,0
