name,tech,cat,size,Latitude,Longitude,state_abbr,unit,size_perc,size_perc_scurve
Pulsant,Colocation Datacenter,Datacenter,0.2508,53.5021178158598,-1.31444573561415,NA,MW,2.722703105390162e-4,0.3147642132570619
Digital Realty,Colocation Datacenter,Datacenter,3.3000000000000003,51.5166894755559,-0.618846131959685,NA,MW,0.0035912382120964165,0.5864688078909632
NTT Global Data Centers,Colocation Datacenter,Datacenter,9.24,48.29253,11.5736,NA,MW,0.010056760098247196,0.6772969633617073
NTT Global Data Centers,Colocation Datacenter,Datacenter,11.22,52.53844,13.238456,NA,MW,0.012211934060297455,0.6963888196843956
Verne Global,Colocation Datacenter,Datacenter,4.356,51.523611,-0.100806,NA,MW,0.004740664325189888,0.6123018693704554
Pulsant,Colocation Datacenter,Datacenter,2.2176,55.92977,-3.29376,NA,MW,0.002413076446175608,0.5536553346157019
Pulsant,Colocation Datacenter,Datacenter,0.66,51.457005,-0.941395,NA,MW,7.176729293627365e-4,0.4155754666095678
Equinix,Colocation Datacenter,Datacenter,19.2192,51.53107,-0.25566,NA,MW,0.020918836866980508,0.7414339391909887
VIRTUS Data Centres,Colocation Datacenter,Datacenter,7.92,51.496361,-0.40402,NA,MW,0.008619977456880357,0.66263248323203
NTT Global Data Centers,Colocation Datacenter,Datacenter,10.163999999999936,48.15981,16.341587,NA,MW,0.011062507947203913,0.6871748241395402
VIRTUS Data Centres,Colocation Datacenter,Datacenter,15.84,51.50985,-0.454207,NA,MW,0.017240673305081396,0.7248045581963534
Pulsant,Colocation Datacenter,Datacenter,1.3860000000000001,52.05504,-0.75551,NA,MW,0.0015079033821144988,0.5172335636394427
NTT Global Data Centers,Colocation Datacenter,Datacenter,0.792,48.1501,11.74795,NA,MW,8.613511934994207e-4,0.45478548622291065
Global Switch,Colocation Datacenter,Datacenter,11.88,51.51111,-0.00568,NA,MW,0.012930325380980877,0.6991736673911049
NTT Global Data Centers,Colocation Datacenter,Datacenter,13.266000000000002,47.44868,8.5409,NA,MW,0.014438947154416059,0.7169086419800567
VIRTUS Data Centres,Colocation Datacenter,Datacenter,4.751999999999994,51.522059,-0.621549,NA,MW,0.005171699117599933,0.6216736232577689
Digital Realty,Colocation Datacenter,Datacenter,2.3760000000000003,51.521311,-0.072428,NA,MW,0.002585490363139629,0.559740115862271
KDDI Telehouse,Colocation Datacenter,Datacenter,9.24,51.512125,-5.06e-4,NA,MW,0.010056760098247196,0.6772969633617073
CyrusOne,Colocation Datacenter,Datacenter,6.006,50.12807,8.58312,NA,MW,0.006536642626898439,0.6397519331749577
Pulsant,Colocation Datacenter,Datacenter,1.6500000000000001,51.35357,-0.11946,NA,MW,0.0017952599103878667,0.5253577947705927
Pulsant,Colocation Datacenter,Datacenter,1.0164,55.9293907541785,-3.40965892686114,NA,MW,0.0011056042425317836,0.4846459565286789
VIRTUS Data Centres,Colocation Datacenter,Datacenter,10.56,51.510698,-0.453874,NA,MW,0.011493542739614037,0.6880616533755357
DATA4,Colocation Datacenter,Datacenter,81.048,45.470817,9.036271,NA,MW,0.08821773578860329,0.8568191565888912
