state,abbr,incentives_gdp,spot_score,dsire_policy_count,dev_policy_count,legislation_index,cpcn,regdata_index,ordinance,sepa,employment_lq,gdp_growth_index,feasibility_index,economic_dynamism,renewable_potential,ev_stations_cap,interconnection_queue,electricity_price,cnbc_rank,clean_tech_investment,datacenter_index,electric_capacity_growth,semiconductor_investment,evs_per_capita,workforce_share,workforce_growth,industry_feasibility,clean_electric_capacity_growth,industrial_electricity_price,datacenter_mw,semiconductor_manufacturing,battery_manufacturing,solar_manufacturing,ev_manufacturing,ind_price_m
Alabama,AL,NA,0.22598870056497175,NA,8,NA,0.75,0.21201041491405256,NA,0,NA,0.7775118194247547,NA,29.7971245886003,NA,2.367722609478242e-4,1.0698204000897584,0.7978685023061625,13,0.28875862794904705,2.1932843533503457e-4,NA,NA,0.0025115184460050913,NA,NA,NA,NA,NA,520.5,NA,1404.752845,1362.536315,341.88651799999997,7.683636363636364
Alaska,AK,NA,0.22598870056497175,NA,4,52,0.75,0.0848341964833608,NA,0,NA,0.6019026265832562,NA,30.9844301408265,NA,1.6773808457685446e-4,NA,0.777771665929363,49,0.025045973753069425,0,NA,NA,0.0036191169128302115,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,20.060909090909092
Arizona,AZ,0.0160816809786468,0.4293785310734463,NA,8,3,0.75,0.09184745830830685,5,0,NA,0.5464171400787291,NA,48.751931898043,NA,4.815872070078998e-4,6.943695422575775,0.8304183402183831,7,0.32853969653191756,0.02539575967935906,0.32347242664714526,0.3709248181983136,0.011665920694603557,NA,NA,NA,9103.6,NA,2812.73,200926,2639.635217,510.030865,1287.300832,8.195454545454545
Arkansas,AR,0.01135249091016413,0.3785310734463277,NA,11,NA,0.75,NA,NA,0,NA,0.6766221135127233,NA,30.9894374836632,NA,3.186331429720045e-4,17.022791788856306,0.8158195918210833,46,0.18459059535613856,1.1021195698899192e-7,0.25005565464090007,NA,0.002290034762633982,NA,NA,NA,2331.2000000000003,NA,2.35,NA,2.339475,0,74.6083,6.654545454545454
California,CA,0.0023984727399315488,0.8248587570621468,120,14,81,0.25,1,17,1,1.4,0.5240512040416715,0.62,52.6110201123414,0.9,0.0012843662267574623,5.929818105462221,0.11584357225627828,26,0.25283259738626224,0.004647574744354505,0.4553790918994777,0.0016220926732388634,0.03158685796406556,0.25,0.05,0.62,17555,0.7,1466.9489999999998,6551,2250.217914,1012.475738,60.897985,21.503636363636364
Colorado,CO,0.011798931909807202,0.6497175141242938,NA,10,34,0.75,0.4206408733367581,13,0,NA,0.3242012187112356,NA,49.6394249329872,NA,9.327009723154803e-4,2.1004318619998124,0.835109320585669,10,0.21959169190394173,4.974655970260853e-6,0.18534330726348847,0.0013270429640545433,0.014968911756475219,NA,NA,NA,2494.5,NA,88.3,722,289.848291,0,4.63654,9.159090909090908
Connecticut,CT,NA,0.7175141242937854,NA,21,36,0.25,0.1520382304208885,NA,1,NA,0.7211757326427505,NA,35.8907597064476,NA,6.948075673666761e-4,1.9149547782971996,0.5506672464813991,33,0.13697137342956864,8.349528486564882e-4,0.02847744659014577,5.612096732032719e-4,0.008485310527627785,NA,NA,NA,196.10000000000002,NA,45.6,200,0,32.78082800000001,0,18.513636363636362
Delaware,DE,0.0019269131405205593,0.559322033898305,NA,10,NA,0.75,0.1928928429225223,2,0,NA,0.2906585101628761,NA,48.8857183084652,NA,5.135106281459199e-4,1.4821130455521108,0.7527464091538184,19,0.15779072941097233,2.1939934388117115e-6,0.00786408520252647,4.934676933019951e-4,0.007904128008048968,NA,NA,NA,18.700000000000003,NA,5,50,NA,NA,NA,9.41
Florida,FL,4.0917931565847806e-5,0.384180790960452,NA,9,NA,0.75,0.40762126558814527,29,0,NA,0.8021569325432755,NA,48.5606400351309,NA,4.220120634273716e-4,1.283473815116761,0.8575984955667938,14,0.18004625357604084,0.0015248938175275628,0.17988657268665142,1.4808926728935607e-5,0.010638076421940621,NA,NA,NA,6416.9,NA,151.2,25,3.964253,101.86353,27.399099999999997,8.843636363636364
Georgia,GA,0.5617456367179396,0.327683615819209,NA,19,7,0.75,0.19163564519428525,56,1,NA,0.7065520750180581,NA,42.8940089770817,NA,4.6088039270504035e-4,1.585751676059268,0.8631244375531693,1,0.542431257574903,0.020843712989387798,0.15955876860315255,3.9457288953103226e-4,0.008177218615708639,NA,NA,NA,4089.5,NA,2264.96,343,15447.293999,3292.238928,1742.1532750000001,7.780909090909091
