state_abbr,unit,Datacenter,Electricity Storage,Solar Generation,Semiconductor Manufacturing,Drone Manufacturing
AK,MW,0.066,57.09,4.554,NA,NA
AL,MW,342.87,NA,140.184,NA,NA
AR,MW,1.5510000000000002,6.6000000000000005,1520.178,NA,NA
AZ,MW,1856.4018,3070.848,2672.1420000000003,NA,NA
AZ,USD,NA,NA,NA,200926,NA
CA,MW,967.79034,8361.606,6049.296,NA,NA
CA,USD,NA,NA,NA,6551,NA
CO,MW,58.278000000000006,304.392,1365.078,NA,NA
CO,USD,NA,NA,NA,722,NA
CT,MW,30.096,NA,149.226,NA,NA
CT,USD,NA,NA,NA,200,NA
DC,MW,2.244,NA,10.23,NA,NA
DE,MW,3.3,NA,46.332,NA,NA
DE,USD,NA,NA,NA,50,NA
FL,MW,99.79199999999999,91.80600000000001,4891.59,NA,NA
FL,USD,NA,NA,NA,25,NA
GA,MW,1234.8336000000002,69.3,1557.204,NA,NA
GA,USD,NA,NA,NA,343,NA
HI,MW,5.953200000000001,293.37,171.27,NA,NA
IA,MW,898.2072000000001,4.488,378.114,NA,NA
ID,MW,4.9005,302.94,303.6,NA,NA
ID,USD,NA,NA,NA,98250,NA
IL,MW,840.0282000000001,2.64,2118.6,NA,NA
IN,MW,123.123,198.858,2591.292,NA,NA
IN,USD,NA,NA,NA,4140.2,NA
KS,MW,15.807,NA,153.78,NA,NA
KS,USD,NA,NA,NA,3724,NA
KY,MW,12.2628,NA,731.4780000000001,NA,NA
LA,MW,5.676,NA,771.144,NA,NA
LA,USD,NA,NA,NA,12,NA
MA,MW,125.07000000000001,202.026,121.572,NA,NA
MA,USD,NA,NA,NA,172.5,NA
MD,MW,39.4152,7.3260000000000005,409.53000000000003,NA,NA
MD,USD,NA,NA,NA,NA,12.5
ME,MW,4.0425,126.06,438.372,NA,NA
MI,MW,24.0834,78.474,1065.042,NA,NA
MI,USD,NA,NA,NA,1205,NA
MN,MW,49.678200000000004,3.9600000000000004,536.382,NA,NA
MN,USD,NA,NA,NA,525,NA
MO,MW,127.24799999999993,NA,853.182,NA,NA
MO,USD,NA,NA,NA,800,NA
MS,MW,12.4212,66.99,861.432,NA,NA
MT,MW,15.219600000000002,NA,108.24000000000001,NA,NA
MT,USD,NA,NA,NA,90,NA
NC,MW,701.0058,177.012,767.712,NA,NA
NC,USD,NA,NA,NA,5172.5,NA
ND,MW,199.39260000000002,NA,NA,NA,NA
NE,MW,387.87870000000004,2.0460000000000003,70.224,NA,NA
NH,MW,3.564,9.24,NA,NA,NA
NH,USD,NA,NA,NA,105,NA
NJ,MW,424.5813,44.220000000000006,139.788,NA,NA
NM,MW,4.2702,676.236,1431.078,NA,NA
NM,USD,NA,NA,NA,7597.5,NA
NV,MW,345.90336,1042.14,1537.6680000000001,NA,NA
NY,MW,502.27386,101.50800000000001,1239.3480000000002,NA,NA
NY,USD,NA,NA,NA,128476.3,NA
OH,MW,2920.1502,7.92,2470.446,NA,NA
OH,USD,NA,NA,NA,28070,910.5
OK,MW,11.127600000000001,278.52000000000004,316.8,NA,NA
OR,MW,1778.55942,345.18,374.616,NA,NA
OR,USD,NA,NA,NA,37551,NA
PA,MW,400.96254,NA,641.9820000000001,NA,NA
PA,USD,NA,NA,NA,315,NA
RI,MW,0.66,1.98,137.544,NA,NA
SC,MW,121.308,55.440000000000005,517.11,NA,NA
SD,MW,6.435,NA,137.28,NA,NA
TN,MW,697.7784,33,465.036,NA,NA
TX,MW,2850.02124,8451.036,14301.474,NA,NA
TX,USD,NA,NA,NA,92002.8,NA
US,USD,NA,NA,NA,50,NA
UT,MW,299.112,132,703.5600000000001,NA,NA
UT,USD,NA,NA,NA,11000,42.25
VA,MW,8280.8682,46.53,1953.336,NA,NA
VA,USD,NA,NA,NA,2000,5.5
VT,MW,1.98,6.6000000000000005,8.382000000000001,NA,NA
VT,USD,NA,NA,NA,900,NA
WA,MW,557.04462,NA,161.70000000000002,NA,NA
WI,MW,27.5088,187.374,1328.976,NA,NA
WV,MW,2.343,NA,96.492,NA,NA
WY,MW,931.392,NA,99,NA,NA
