State,CPCN Required for Utility-Scale Projects,Year Requirement Started
Alabama,No,
Alaska,No,
Arizona,No,
Arkansas,No,
California,Yes,1974
Colorado,No,
Connecticut,Yes,1971
Delaware,No,
Florida,No,
Georgia,No,
Hawaii,Yes,1974
Idaho,No,
Illinois,Yes,1921
Indiana,Yes,1986
Iowa,Yes,1976
Kansas,No,
Kentucky,Yes,1972
Louisiana,No,
Maine,No,
Maryland,Yes,1971
Massachusetts,Yes,1977
Michigan,Yes,
Minnesota,Yes,1973
Mississippi,No,
Missouri,No,
Montana,Yes,1971
Nebraska,No,
Nevada,No,
New Hampshire,No,
New Jersey,Yes,1980
New Mexico,No,
New York,Yes,1975
North Carolina,Yes,1977
North Dakota,No,
Ohio,Yes,1972
Oklahoma,No,
Oregon,Yes,1980
Pennsylvania,Yes,1978
Rhode Island,Yes,1988
South Carolina,No,
South Dakota,No,
Tennessee,Yes,1992
Texas,No,
Utah,No,
Vermont,Yes,1970
Virginia,Yes,1971
Washington,No,
West Virginia,Yes,1975
Wisconsin,Yes,1977
Wyoming,No,
