"","X","Company","Parent.Company","Location","City","County","Address","Zip","Project.Description","NAICS.Industry.Code","Year","Subsidy.Value","Megadeal.Contribution","Subsidy.Value.Adjusted.For.Megadeal","Program.Name","Awarding.Agency","Type.of.Subsidy","Number.of.Jobs.or.Training.Slots","Wage.Data","Wage.Data.Type","Investment.Data","Value.of.Exempted.Property","Source.of.Data","Notes","Subsidy.Source","CFDA.Program.Number","Loan.Value","State.in.Which.Facility.Is.Located","HQ.State.of.Parent","HQ.Country.of.Parent","Ownership.Structure","Major.Industry.of.Parent","Specific.Industry.of.Parent","Megadeal.Subsidy.Value.in.2023.Dollars","subs_m","Sector","investment_m","Seq..No.","X2022.NAICS.US.Code","X4"
"1",183036,"Micron Technology","Micron Technology","New York","Clay","Onondaga","",NA,"four computer chip manufacturing plants",NA,2022,6359000000,"$6,359,000,000","$6,359,000,000","multiple","multiple","MEGADEAL",9000,"$100,000","average annual salary",100000000000,0,"Subsidy details and breakdown are based on: Mark Weiner, ""See the incentives that helped lure Micron to Central New York,"" The Post-Standard. October 11, 2022 (via LexisNexis). Also: https://www.syracuse.com/politics/2022/10/see-the-incentives-that-helped-lure-micron-to-central-new-york.html?utm_source=substack&utm_medium=email. Rick Moriarty, ""Micron would get $284M property tax break under proposed deal with Onondaga County, records show,"" Syracuse.com, https://www.syracuse.com/business/2022/10/micron-would-get-284m-property-tax-break-under-proposed-deal-with-onondaga-county-records-show.html. An October 4, 2022 press release from Gov. Hochul's office: ""Hochul, Schumer, McMahon Announce: Micron is Coming to Onondaga County! Micron Will Invest an Unprecedented $100 Billion Over the Next 20-Plus Years to Transform Central New York Into a Global, Leading-Edge Semiconductor Manufacturing Hub,"" https://www.governor.ny.gov/news/hochul-schumer-mcmahon-announce-micron-coming-onondaga-county-micron-will-invest-unprecedented","The project includes four computer chip manufacturing plants located in the White Pine Commerce Park in the city of Clay. The subsidy package reflects the maximum amounts that company is eligible for if all jobs and investment targets are met over 20 years. State subsidies: Up to $5.5 billion in the Green Chips program, which is a 20-year job tax credit; $200 million in state funds to improve roads and infrastructure around the site; $100 million in state funds as a contribution to a community fund that will invest in Central New York. Local subsidies: at least $275 million from Onondaga County for site preparation, sewer infrastructure, workforce training and attraction. Onondaga County Industrial Development Agency will also approve a 49-year PILOT (tax abatement) agreement with the company, which according to the most recent proposal available, would be worth $284 million. The company is also eligible for up to $3 billion from the federal government via the Chips and Science Act program not included in the total. The project's construction jobs are supposed to pay the federal prevailing wage. The company promised to power the facilities with 100 percent renewable energy. Overlaps with the main data: none.","multiple",NA,NA,NA,"Idaho","USA","publicly traded","electrical and electronic equipment","semiconductors",NA,6359,"Electrical Equipment, Appliance, and Component Manufacturing",100000,777,335,NA
"2",140682,"Intel","Intel","Ohio","New Albany","Licking","","","computer chip factory",NA,2022,2388700000,"$1,913,700,000","$1,913,700,000","multiple","multiple","MEGADEAL",3000,"$135,000","average salary",20000000000,0,"Subsidy breakdown taken from: Mark Williams, ""Ohio incentives for Intel's Licking County chip plant will top $2B, including $600M 'onshoring grant'"", The Columbus Dispatch, January 28, 2022: https://www.dispatch.com/story/business/2022/01/28/ohio-release-details-incentive-package-intel-chip-plants/9253570002/. Tax exemptions and estimates of value based on: Zach Schiller, ""Legislators should add measures to protect Ohioans,"" Policy Matters Ohio, June 1, 2022: https://www.policymattersohio.org/press-room/2022/06/01/state-aid-to-intel-lacks-safeguards; Zach Schiller, ""Ohio tax breaks bulge,"" Policy Matters Ohio, April 7, 2023: https://www.policymattersohio.org/press-room/2023/04/07/ohio-tax-breaks-bulge. HB 687 Fiscal note is at https://www.legislature.ohio.gov/download?key=19300&format=pdf","In January 2022, Intel announce that it will build one of the largest chip manufacturing plants in the US. In exchange for $20 billion investment, Ohio offered at least $2.1 billion in subsidies. State subsidies: $600 million in an ""onshoring grant,"" a cash grant that will pay for building the facility (approved in HB 687 in June 2022); $691 million for infrastructure improvements ($300 million for a water reclamation facility, $290 million for state and locals road upgrades, $101.2 million for water and sewer upgrades approved via HB 687); $650 million over 30 years in income tax credits via the Job Creation Tax Credit (approved by the Ohio Tax Credit Authority); $150 million in various grants from Jobs Ohio. HB 687 also modified and expanded megaproject tax incentives that are estimated to save Intel $297 million and its suppliers $700,000 in fiscal years 2024 and 2025. Local subsidies: Unknown value of a 30-year, 100% property tax abatement from New Albany via Community Reinvestment Areas. Policy Matters Ohio and others have raised concerns about loose job creation and clawback requirements in the agreements with the company. The entry's direct job and investment figures are announced. Overlaps with main data: 2022 Job Creation Tax Credit ($475M).","multiple",NA,NA,NA,"California","USA","publicly traded","electrical and electronic equipment","semiconductors",NA,1913.7,"Electrical Equipment, Appliance, and Component Manufacturing",20000,777,335,NA
"3",135573,"Hyundai Motor Group","Hyundai Motor","Georgia","","Bryan","",NA,"EV manufacturing plant",NA,2022,1800000000,"$1,800,000,000","$1,800,000,000","multiple","multiple","MEGADEAL",8100,"$58,000","average salary",5500000000,0,"The subsidy breakdown was taken from: Michael E. Kanell, J. Scott Trubey and Zachary Hansen, ""Hyundai incentives may top $1.8B,"" The Atlanta Journal-Constitution, July 23, 2022, via LexisNexis.","The state and local package includes: tax breaks ($472 million in local property tax abatements, $283.2 million in state sales tax exemptions on machinery purchases, $212.6 million in state Mega jobs tax credits); infrastructures improvements and site preparation ($200 million for road upgrades; $175.6 million for water and sewer upgrades, $50 million state grant for project development); workforce training ($62.5 million for a Quick Start training center and another $24.5 million for operations). The source article states $4.7 billion in wages over 10 years. We divided 4.7 billion by 10 years and 8,100 promised jobs for the average salary of about $58,000. Overlaps with main data: none.","multiple",NA,NA,NA,"","South Korea","publicly traded","motor vehicles","motor vehicles",NA,1800,"Motor Vehicle Manufacturing",5500,807,3361,NA
"4",117819,"General Motors","General Motors","Michigan","","","",NA,"EV production and battery manufacturing",NA,2022,1761000000,"$1,761,000,000","$1,761,000,000","multiple","multiple","MEGADEAL",4000,"","",7000000000,0,"A good explanation and a breakdown of the package: Michigan House Appropriations Committee, Michael D. Farren testimony: ""Michigan's SOAR Funding for Economic Stimulus: Even Though the Train Has Left the Station, It's Not Too Late to Change Tracks,"" Mercatus Center, February 23, 2022; https://www.mercatus.org/publications/corporate-welfare/michigans-soar-funding-economic-stimulus-even-though-train-has-left. Local subsidies: Jamie L. LaReau, ""GM is granted big tax break; Automaker has proposed $1.3B investment for EV retooling,"" January 19, 2022, Detroit Free Press. Via LexisNexis.","The subsidy deal is for expansions of EVs production in Orion Township and building an electric battery manufacturing facility in Lansing (the EV battery plant is a joint venture between GM and LG Energy Solution called Ultium Cells). The state provided $666 million via the Strategic Outreach and Attraction Reserve (SOAR) Fund (the state created the program in March 2022 for an unnamed company later revealed to be GM); $158 million is from the Renaissance Zone tax incentive. In addition, the company will access about $937 million more in water subsidies from the Lansing Board of Water and Light. Local subsidies include 15-year abatements from Orion Township which value has been unknown. Overlaps with main data: none.","multiple",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,1761,"Motor Vehicle Manufacturing",7000,807,3361,NA
"5",109339,"Ford Motor","Ford Motor","Michigan","Marshall","Calhoun","",NA,"EV battery production",NA,2023,1700000000,"$1,700,000,000","$1,700,000,000","multiple","","MEGADEAL",2500,"$45,000","Average annual wage",3500000000,0,"A press release from the Michigan Economic Development Corporation: ""THIS JUST IN: Ford to Create 2,500 Jobs at New $3.5 Billion EV Battery Manufacturing Facility in Michigan,"" February 13, 2023: https://www.michiganbusiness.org/press-releases/2023/02/marshall-ford-investment/; Michigan Strategic Fund, MSF Board Packet, February 13, 2023: https://www.michiganbusiness.org/491914/globalassets/documents/msf-board/msf-board-packets/msf-packet-feb-13-2023.pdf; Paula Gardner, February 13, 2023, ""Ford EV battery plant on Marshall Michigan megasite gets $1B in incentives,"" Bridge Michigan, https://www.bridgemi.com/business-watch/ford-ev-battery-plant-marshall-michigan-megasite-gets-1b-incentives; Craig Mauger and Beth LeBlanc, February 28, 2023, ""Michigan Senate passes $1.3B spending bill with Ford battery plant subsidy,"" The Detroit News via LexisNexis.","Ford Motor Co. will construct an EV battery manufacturing facility, BlueOval Battery Park Michigan, outside the city of Marshall. The associated subsidy package includes: A Critical Industry Program performance-based grant of $210 million from the Strategic Outreach and Attraction Reserve (SOAR) fund; a $36 million loan from the Jobs for Michigan Investment Fund to the Marshall Area Economic Development Alliance for megasite land acquisition and improvement; the creation of a 15-year MSF-Designated Renaissance Zone and PILOT waiver worth an estimated $772 million; a PA 198 Industrial Facilities Exemption property tax abatement worth an estimated $52 million; $630 million for infrastructure investments and site readiness. Overlap with main data: None.","multiple",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,1700,"Motor Vehicle Manufacturing",3500,807,3361,NA
"6",230991,"Rivian","Rivian Automotive Inc.","Georgia","Stanton Springs","","",NA,"EV manufacturing plant",NA,2022,1476899999,"$1,476,899,999","$1,476,899,999","multiple","multiple","MEGADEAL",7500,"$56,000","average salary",5000000000,0,"The package details are taken from: Erin Schilling, ""Why Rivian's latest numbers prove Georgia's record, $1.5B incentive plan isn't a sure bet,"" Atlanta Business Chronicle (Georgia), May 3, 2022, via LexisNexis. The Original Rivian Offer Letter from Dec. 2021 from the Georgia Economic Development Department includes a detail breakdown of all subsidies: https://www.georgia.org/sites/default/files/2022-05/executable_-_rivian_offer_letter_-_12-6-21.pdf also posted to https://www.georgia.org/rivian (scroll to the bottom of the webpage, see documents under Incentives). For the state judge decision on the local tax abatements see: Jeff Amy, ""Rivian's $5 billion plant in Georgia loses lucrative property tax break after judge unexpectedly throws it out,"" The Associated Press and Fortune; https://fortune.com/2022/10/01/rivian-georgia-plant-property-tax-break-judge-ruling-5-billion/","The EV production facility is located at the East Atlanta Megasite. The state and local package includes: $111 million state grant payable to the local authority for land acquisition and preparation; $62.5 million state grant for a Quick Start Training Center and an additional $26.9 million state grant for workforce development training; $51.5 million from the Georgia Department of Transportation for road infrastructure; $24 million in free land from the Joint Development Authority of Jasper, Morgan, Newton and Walton counties; $21.3 million grant from REBA program for site development and build-out; $600,000 from Technical College System of Georgia in workforce recruitment assistance; $575,000 grant that will pay for various studies; $450,000 for two state employees responsible for the project; estimated $196.9 million in Mega Job Tax Credits; and estimated $105 million in sales tax exemptions. The total also includes a 25-year property tax abatements deal estimated at $700 million (Rivian would make $300 million PILOT payments on it), but in October 2022 a state judge found those property tax abatements unconstitutional. We still included the value of the abatement in the subsidy total. Overlaps with main data: none.","multiple",NA,NA,NA,"California","USA","publicly traded","motor vehicles","electric vehicles",NA,1476.899999,"Motor Vehicle Manufacturing",5000,807,3361,NA
"7",245140,"Scout Motors","Volkswagen","South Carolina","Blythewood","Richland",NA,NA,"EV factory",NA,2023,1300000000,"$1,300,000,000","$1,300,000,000","multiple","multiple","MEGADEAL",4000,"$58,000","an annual salary of an average hourly employee",2000000000,0,"Subsidy details: Joseph Bustos and Morgan Hughes, ""SC agreed to spend $1.3B to land Scout Motors EV project in Blythewood,"" The State (Columbia, South Carolina). March 6, 2023. wage details: Joseph Bustos ,""Here's how SC plans to pay the $1.3B in incentives it offered EV-maker Scout,"" The State (Columbia, South Carolina). March 7, 2023. Both via LexisNexis.","In exchange for an electric vehicle plant, Scout Motors, a Volkswagen subsidiary, was approved (House Bill 3604 ) for $1.3 billion from the state: $650 million that will pay for highway, road and other infrastructure projects; $400 million grant directly to the for the site construction; $25 million to build Midlands Technical College training center; $16 million for property acquisition; $200 million loan for soil stabilization; and unspecified amount from Job Development Credits. In addition there are local subsidies, which value have not been disclosed: 40-year tax abatements via FILOT and SSRC. Company investment is over 13 years. Overlap with the main data: none.","multiple",NA,NA,NA,NA,"Germany","publicly traded","motor vehicles","motor vehicles",NA,1300,"Motor Vehicle Manufacturing",2000,807,3361,NA
"8",209946,"Panasonic","Panasonic","Kansas","De Soto","Johnson","",NA,"EV battery manufacturing",NA,2022,1274600000,"$1,274,600,000","$1,274,600,000","multiple","multiple","MEGADEAL",0,"","",4000000000,0,"APEX subsidy detail and break-down are taken from: Andrew Bahl, ""Provision in Panasonic deal may make details on Kansas megaprojects exempt from open records law,"" Topeka Capital-Journal (Kansas), July 21, 2022, via LexisNexis; Kevin Hardy and Katie Bernard, ""'Shocking.' Kansas secures no jobs or pay commitments in Panasonic's $4B battery plant,"" The Kansas City Star, July 25, 2022, via LexisNexis. Transportation and local subsides, including TIF are taken from: Thomas Friestad, ""De Soto approves TIF, setting the table for Panasonic's incoming megaproject,"" Kansas City Business Journal (Missouri), July 22, 2022, via LexisNexis. Kevin Hardy, ""JoCo, De Soto and Kansas add millions more in incentives toward Panasonic battery plant,"" The Kansas City Star, July 28, 2022, via LexisNexis.","In early 2022, Kansas and Oklahoma were competing for a secretive project that later was announced to be a Panasonic's EV battery plant. The Kansas legislature created a special program called Attracting Powerful Economic Expansion (APEX) to entice the company. The bill allows Panasonic to access $829 million in public state funds: 15% investment tax credits (estimated $500 million), 10% payroll reimbursement for 10 years (estimated $234 million), workforce training and relocation reimbursement for 10 years, and state sales tax exemptions on construction material purchases (estimated $60.2 million). Many of the tax breaks are structured as ""refundable"" credits, meaning the company will receive annual cash payments based on investment made and jobs created. In addition, the state's Transportation Department will provide $26 million in roads improvements. The Johnson County will provide $15 million (ARPA funds) for road infrastructure and a new fire station. De Soto will provide $2 million for infrastructure development. The city also approved two 20-year TIFs (for the current project and possible expansion), what will generate estimated $402.6 million in increment to pay for the development.  Even though not all the TIF funds will go directly to Panasonic, the company will benefit from activities that the TIF revenue will pay for (Sunflower Redevelopment LLC is the project developer). The state agreement with the company does not include any specific job creation or wage requirements but it was advertised that the project would create 4,000 jobs paying $50,000 a year. The agreement requires $1 billion investment but $4 billion was advertised. The company must stay 15 years in the state. Overlaps with main data: none.","multiple",NA,NA,NA,"""""","Japan","publicly traded","electrical and electronic equipment","consumer electronics",NA,1274.6,"Electrical Equipment, Appliance, and Component Manufacturing",4000,777,335,NA
"9",109342,"Ford Motor Co.","Ford Motor","Tennessee","Stanton","Haywood",NA,NA,"electric car and battery plant",NA,2021,884000000,"$884,000,000","$884,000,000","multiple","multiple","MEGADEAL",5800,"","",5600000000,0,"Information on subsidies, the Authority, and Tennessee Coalition for Open Government concerns taken from: Yue Stella Yu, ""Tennessee legislature gives final nod to $884M Ford deal,"" The Tennessean, October 26, 2021, via LexisNexis. See also: John Klyce, ""Ford Motor Co. to invest $5.6B in Memphis Regional Megasite, create 5.8K new jobs,"" Memphis Business Journal, September 27, 2021; https://www.bizjournals.com/memphis/news/2021/09/27/ford-to-invest-billions-memphis-regional-megasite.html. See SB8002 text at https://www.capitol.tn.gov/Bills/112/Bill/SB8002.pdf and SB8001://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB8001","In September 2021, Ford announced a plan to build an electric vehicle and battery plant at the Memphis Regional Megasite in Haywood County, TN (Ford announced at the same time two battery plants in Kentucky; see separate entry). In October, the Tennessee legislature passed and the Gov. Lee signed SB8002, which provided $884 million to Ford, which will partner with SK Innovation, a South Korean company, to produce batteries at the site. The 3,600-acre campus was named Blue Oval City. The subsidy package included: $500 million in direct grants; $200 million for road construction through the Department of Transportation; $138.2 million for infrastructure development and site preparation from the Department of Economic and Community Development; $40 million to build a Tennessee College of Applied Technology, which will train workforce; and $5 million for legal services. This does not include any tax-based subsidies that Ford might be eligible for or any local property tax abatement. Because Ford will build on publicly owned land, another bill, SB8001, created an 11-member Megasite Authority of West Tennessee that will govern the public site. The authority will cost the state little less than $1 million a year to operate. This is not included in the total. Tennessee Coalition for Open Government expressed concerns over the authority's ability to deny the public access to information. The state also spent $200 million over the years to build out the site; this is not included in the total. Overlaps with main data: none.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,884,"Motor Vehicle Manufacturing",5600,807,3361,NA
"10",272075,"Toyota","Toyota","North Carolina","Greensboro","Randolph",NA,NA,"EV battery production",NA,2021,859800000,"$780,692,800","$780,692,800","multiple","multiple","MEGADEAL",2100,"$62,234","median salary",3800000000,0,"State infrastructure subsidies based on: Andy Warfield, ""NC budget bill includes $338M for Greensboro-Randolph Megasite. Could it be for Toyota battery plant?"" Triad Business Journal (Greensboro, North Carolina), November 17, 2021. Via LexisNexis. Project expansion details: Steve Doyle, ""Toyota's plans for Greensboro, Randolph County just got even bigger,"" CBS - 9 WNCT (Greenville, North Carolina); August 31, 2022. Via LexisNexis.  State subsidy breakdown: a December 6, 2021 press release from Gov. Cooper ""Governor Cooper Announces Toyota Will Build Company's First North American Battery Plant in North Carolina"" https://governor.nc.gov/news/press-releases/2021/12/06/governor-cooper-announces-toyota-will-build-companys-first-north-american-battery-plant-north. Local Subsidies: Paul B. Johnson, ""N.C.Toyota chooses megasite for new plant,"" High Point Enterprise (North Carolina), December 7, 2021. Via LexisNexis. See also December 9, 2021 Randolph County Board of Commissioner minuets of meetings: https://publicdocs.randolphcountync.gov/WebLink/DocView.aspx?id=22614319&dbid=0&repo=Randolph-County-Records. Greensboro City Council special meeting on Dec. 6, 2022: https://pub-greensboro-nc.escribemeetings.com/Meeting.aspx?Id=7540a866-a5f5-43f0-8617-9e2be0dc9fd9&Agenda=Agenda&lang=English&Item=5&Tab=attachments","In December 2021, Toyota announced a battery manufacturing plant at the Greensboro-Randolph Megasite. In August 2022, the company announced expansion of the project (the entry's jobs and investment reflects the expansion).  In November 2021, in a budget legislation the state approved $338 million for the megasite improvements for an unnamed company: $135 million for road improvements provided to NCDOT for Phase I (additional $185 million was earmarked for future site work during Phase II); $100 million for wetlands mitigation at the site, and $35 million for roadwork and wetlands mitigation within Randolph County. Toyota is also eligible for up to $315 million over 39 years from Job Development Grant for Phase I and II of the project (Phase I included $79.1 million over first 20 years). Randolph County approved 20-year grant that will reimburse the company for 60% of its annual property taxes during Phase I; during Phase II the reimbursements will equal 70% - values unknown. The county also gave the company free land, valued at about $21.8 million. Greensborough agree to connect water and sewer lines to the site for free. The entry reflects possible subsidies for Phase I and II. Overlaps with main data: a 2021 JDIG entry for Toyota for $79,107,200.","multiple",NA,NA,NA,"","Japan","publicly traded","motor vehicles","motor vehicles",NA,780.6928,"Motor Vehicle Manufacturing",3800,807,3361,NA
