State,City/Town,County,Feature Type,Value Type,Value,Citation,Comment,Updated Type,Updated Value,Updated Comment,Ordinance Year,Original Captured Date,New Capture Date,Update Status
Arizona,,Cochise ,Property Line,Maximum Structure Height ,2,Cochise County Ord. за1824.02,Greater of twice the setback required otherwise required in a zone or equal to the height of the tallest structure ,,,,,2021,,
Arizona,,La Paz ,Property Line,Meters,6.1,La Paz County Ord. з 619.06,,,,,,2021,,
Arizona ,,La Paz ,Highway,Meters,23,La Paz County Ord. з 619.06,,,,,,2021,,
Arizona ,,Maricopa,Highway,Meters,6.1,Maricopa Cnty. Ord. з 1206.2.3; ,,,,,,2021,,
Arizona ,,Pinal ,Banned,N/a ,,Pinal Cnty. Ord. з 2.210.030(A),Solar PV is restricted from being the primary use of a property in Pinal County ,,,,,2021,,
California ,,Butte,Height,Meters,4.5,Butte County Code з 24-157(c) ,15' maximum height for projects on parcels greater than  10 acres,,,,,2021,,
California ,,Butte,Property Line,Meters,10.6,Butte County Code з 24-157(c) ,20 foot setback plus an additional 15' adjacent to residential zones ,,,,,2021,,
California ,,Contra Costa ,Height,Meters,7.62,Contra Costa County Code з 88-30.606,25' Max height ,,,,,2021,,
California ,,Glenn,Property Line,Meters,18.2,Glenn County Code з 15.860.030(g)(4)(a),60' setback for any facility sited adjacent to residential ,,,,,2021,,
California ,,Los Angeles,Height,Meters,7.62,Los Angeles County Code 22.140.510(E),25' max height ,,,,,2021,,
California ,,Los Angeles,Property Line,Meters,9.1,Los Angeles County Code 22.140.510(E),30' setback for agricultural zones,,,,,2021,,
California ,,Los Angeles,Roads,Meters,3,Los Angeles County Code 22.140.510(E),10' lanscape buffer between facility and public right of way ,,,,,2021,,
California ,,Merced,Property Line,Maximum Structure Height ,1,Merced County Code з 18-30-030,,,,,,2021,,
California ,,Merced,Structures,Maximum Structure Height ,1,Merced County Code з 18-30-030,,,,,,2021,,
California ,,Napa,Height,Meters,4.5,Napa County Code з 18.117.040(c),Max height 15',,,,,2021,,
California ,,San Diego ,Property Line,Meters,1,San Diego County Code з 6954(b)(3),3 foot setback ,,,,,2021,,
California ,,San Diego ,Height ,Meters,3.65,San Diego County Code з 6954(b)(3),Max height 12',,,,,2021,,
California ,,San Luis Obispo,Property Line,Meters,30.48,San Luis Obispo County Code з 22.32.050,Setback of 100 feet ,,,,,2021,,
California ,,San Luis Obispo,Height ,Meters,4.5,San Luis Obispo County Code з 22.32.050,Max Height 15',,,,,2021,,
California ,,Santa Clara ,Property Line,Meters ,9.1,Santa Clara County Code з 4.10.345,Setback of 30 Feet ,,,,,2021,,
California ,,Sonoma,Height,Meters,4.5,Sonoma County Code з 26-88-206 ,Max Height 15' ,,,,,2021,,
California ,,Yolo,Property Line,Meters,15.24,Yolo County Code з Sec. 8-2.1104(h),50' setbacks in agricultural zones ,,,,,2021,,
Colorado,,Clear Creek,Height,Meters,10.668,Clear Creek Zoning Regulations,,,,,,,,
Colorado,,El Paso,Height,Meters,4.572,El Paso County Land Development Code 5.1.49,,,,,,,,
Colorado,,Jefferson,Height,Meters,7.62,Jefferson County Zoning Resolution з 18 (D),,,,,,,,
Colorado,,Lake,Height,Meters,7.62,Lake County Land Development Code Chapt. 5,,,,,,,,
Colorado,,Lincoln,Property Line,Meters,30.48,Lincoln County Zoning Resolution 11-17,,,,,,,,
Colorado,,Lincoln,Roads,Meters,30.48,Lincoln County Zoning Resolution 11-17,,,,,,,,
Colorado,,Lincoln,Structures,Meters,304.8,Lincoln County Zoning Resolution 11-17,,,,,,,,
Colorado,,Pueblo,Height,Meters,6.096,Pueblo County Zoning з 17.168.050 ,,,,,,,,
Colorado,,Pueblo,Property Line,Meters,45.72,Pueblo County Zoning з 17.168.050 ,,,,,,,,
