"Manufacturing, industrial, and energy facility metadata"

version:,2025_Q4.20260109.0
created:,Fri Jan  9 12:47:14 2026 (PST)
unique_id,Segment,Company,Technology,Subcategory,Decarb_Sector,Project_Type,Current_Facility_Status,Estimated_Total_Facility_CAPEX,Announcement_Date,State,Address,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,county_2020_fips_code,county_2020_geoid,census_tract_2020_id,census_tract_2020_geoid,census_tract_2020_name,county_2010_fips_code,county_2010_geoid,census_tract_2010_id,census_tract_2010_geoid,census_tract_2010_name,census_2022_zip5,Latitude,Longitude,LatLon_Valid
M.B.6K_TN_0,Manufacturing,6K Energy,Batteries,EAM,Clean Tech Manufacturing,New,Announced,204.157764,2023-04-18,TN,"Riverside Dr, Jackson, TN  38301",4708.0,TN-08,Marsha Blackburn,Republican,Bill Hagerty,Republican,David Kustoff,Republican,113.0,47113.0,800.0,47113000800.0,Census Tract 8,113.0,47113.0,800.0,47113000800.0,Census Tract 8,38301.0,35.606,-88.83,True
M.B.ABB_VA_0,Manufacturing,ABB Group,Batteries,Modules,Clean Tech Manufacturing,New,Operating,1.531183,2023-06-19,VA,"8440 Times Dispatch Blvd #100, Mechanicsville, VA 23116",5101.0,VA-01,Tim Kaine,Democratic,Mark Warner,Democratic,Robert J. Wittman,Republican,85.0,51085.0,320902.0,51085320902.0,Census Tract 3209.02,85.0,51085.0,320900.0,51085320900.0,Census Tract 3209,23116.0,37.63792,-77.39912,True
M.B.Advano_LA_0,Manufacturing,Advano,Batteries,EAM,Clean Tech Manufacturing,Expansion,Operating,20.856298,2020-07-08,LA,"2045 Lakeshore Drive, New Orleans, LA 70122",2202.0,LA-02,Bill Cassidy,Republican,John Neely Kennedy,Republican,Troy Carter,Democratic,71.0,22071.0,13302.0,22071013302.0,Census Tract 133.02,71.0,22071.0,13302.0,22071013302.0,Census Tract 133.02,70148.0,30.031877,-90.063604,True
M.B.Akasol_MI_0,Manufacturing,"AKASOL, Inc.",Batteries,Modules,Clean Tech Manufacturing,New,Retired,45.29097,2019-06-26,MI,"1400 E 10 Mile Rd, Suite 150, Hazel Park, MI, 48030",2611.0,MI-11,Gary Peters,Democratic,Elissa Slotkin,Democratic,Haley Stevens,Democratic,125.0,26125.0,175000.0,26125175000.0,Census Tract 1750,125.0,26125.0,175000.0,26125175000.0,Census Tract 1750,48030.0,42.475023,-83.092156,True
M.B.Aleon_TX_0,Manufacturing,Aleon Renewables Metals,Batteries,EAM,Clean Tech Manufacturing,New,Under Construction,338.160654,2022-06-16,TX,"302 Midway Rd, Freeport, TX 77542",4814.0,TX-14,John Cornyn,Republican,Ted Cruz,Republican,Randy Weber,Republican,39.0,48039.0,664200.0,48039664200.0,Census Tract 6642,39.0,48039.0,664200.0,48039664200.0,Census Tract 6642,77541.0,28.95464,-95.33891,True
M.B.Alkegen_IN_0,Manufacturing,Alkegen,Batteries,EAM,Clean Tech Manufacturing,New,Operating,14.619656,2021-06-15,IN,"54401 Smilax Road, New Carlisle, IN 46552",1802.0,IN-02,Jim Banks,Republican,Todd C. Young,Republican,Rudy Yakym,Republican,141.0,18141.0,10800.0,18141010800.0,Census Tract 108,141.0,18141.0,10800.0,18141010800.0,Census Tract 108,46552.0,41.702912,-86.449965,True
M.B.AMBatteries_MA_0,Manufacturing,AM Batteries,Batteries,EAM,Clean Tech Manufacturing,Expansion,Operating,2.374288,2022-10-25,MA,"200 Turnpike Road, Chelmsford, MA 01824",2503.0,MA-03,Edward J. Markey,Democratic,Elizabeth Warren,Democratic,Lori Trahan,Democratic,17.0,25017.0,317102.0,25017317102.0,Census Tract 3171.02,17.0,25017.0,317102.0,25017317102.0,Census Tract 3171.02,1824.0,42.58353,-71.32055,True
M.B.Ambri_MA_0,Manufacturing,Ambri,Batteries,Cells,Clean Tech Manufacturing,New,Canceled prior to operation,76.135513,2022-06-02,MA,"196 E Main St, Milford, MA 01757",2504.0,MA-04,Edward J. Markey,Democratic,Elizabeth Warren,Democratic,Jake Auchincloss,Democratic,27.0,25027.0,744202.0,25027744202.0,Census Tract 7442.02,27.0,25027.0,744200.0,25027744200.0,Census Tract 7442,1757.0,42.15369,-71.50164,True
M.B.American_AZ_0,Manufacturing,American Battery Factory,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Under Construction,427.075609,2022-03-08,AZ,"Tucson Mountain Park, Tucson, AZ  85735",407.0,AZ-07,Ruben Gallego,Democratic,Mark Kelly,Democratic,Adelita Grijalva,Democratic,19.0,4019.0,4434.0,4019004434.0,Census Tract 44.34,19.0,4019.0,4421.0,4019004421.0,Census Tract 44.21,85735.0,32.222,-111.14,True
M.B.American_OH_0,Manufacturing,American Battery Factory,Batteries,Modules,Clean Tech Manufacturing,Restart,Operating,211.487535,2022-04-04,OH,"50 Ovonic Way, Springboro, OH 45066",3901.0,OH-01,Jon Husted,Republican,Bernie Moreno,Republican,Greg Landsman,Democratic,165.0,39165.0,30501.0,39165030501.0,Census Tract 305.01,165.0,39165.0,30501.0,39165030501.0,Census Tract 305.01,45066.0,39.56931,-84.25916,True
