"Actual investments by state, technology, and quarter (2024 million USD)"

version:,2025_Q2.20250811.0
created:,Mon Aug 11 13:41:07 2025 (PDT)

Segment,State,Technology,Subcategory,quarter,Estimated_Actual_Quarterly_Expenditure,Decarb_Sector
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q1,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q2,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q3,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q4,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q1,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q2,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q3,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q4,0.410603,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2020-Q2,0.410603,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2020-Q3,1.231809,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2020-Q4,0.410603,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2023-Q2,1.921623,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2023-Q3,2.882434,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2023-Q4,0.960811,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2019-Q4,0.176587,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2020-Q1,0.529762,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2020-Q2,0.529762,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2022-Q4,0.194027,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2023-Q1,4.462630,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2023-Q2,4.462630,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2023-Q3,1.293516,Power
Energy and Industry,AK,Storage,Batteries,2019-Q2,2.220614,Power
Energy and Industry,AK,Storage,Batteries,2020-Q3,5.889537,Power
Energy and Industry,AK,Storage,Batteries,2020-Q4,17.668610,Power
Energy and Industry,AK,Storage,Batteries,2021-Q1,17.668610,Power
Energy and Industry,AK,Storage,Batteries,2021-Q2,17.668610,Power
Energy and Industry,AK,Storage,Batteries,2021-Q3,17.668610,Power
Energy and Industry,AK,Storage,Batteries,2021-Q4,17.668610,Power
Energy and Industry,AK,Storage,Batteries,2023-Q4,7.446163,Power
Energy and Industry,AK,Storage,Batteries,2024-Q1,22.338490,Power
Energy and Industry,AK,Storage,Batteries,2024-Q2,22.338490,Power
Energy and Industry,AK,Storage,Batteries,2024-Q3,22.338490,Power
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2022-Q3,0.345479,Industry
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2022-Q4,0.706312,Industry
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2023-Q1,0.690958,Industry
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2023-Q2,0.360834,Industry
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q1,33.756549,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q2,33.756549,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q3,33.756549,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q4,33.756549,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2021-Q2,7.434550,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2021-Q3,22.303651,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2021-Q4,22.303651,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q1,22.303651,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q2,22.303651,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q3,22.303651,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q4,22.303651,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2018-Q3,8.711408,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2018-Q4,17.422815,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2020-Q2,23.592870,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2020-Q3,70.778609,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2020-Q4,70.778609,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q1,70.778609,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q2,70.778609,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q3,17.754139,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q4,26.631208,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q1,43.878086,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q2,52.501524,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q3,52.501524,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q4,52.501524,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2023-Q1,25.870316,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2023-Q4,13.425988,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q1,20.138983,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q2,13.425988,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q3,10.120543,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q4,30.361630,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2025-Q1,30.361630,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2025-Q2,134.946038,Power
Energy and Industry,AR,Carbon Management,Storage,2023-Q2,0.036648,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2023-Q3,3.371596,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2023-Q4,3.371596,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2024-Q1,3.334948,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2024-Q2,0.403126,Carbon Removal
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q1,1.777838,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q2,1.523861,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q3,0.507954,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q4,1.338469,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q1,2.676939,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q2,10.796986,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q3,10.165334,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q4,38.408219,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q1,54.705241,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q2,54.953197,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q3,20.229775,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q4,16.666022,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q1,43.023027,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q2,43.211529,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q3,40.027844,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q4,30.919328,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q1,25.839765,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q2,31.398229,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q3,25.299648,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q4,56.430262,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q1,186.695243,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q2,199.349408,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q3,465.632842,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q4,227.803851,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q1,308.750260,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q2,407.544921,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q3,526.823722,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q4,107.420903,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2025-Q1,205.150458,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2025-Q2,308.614590,Power
Energy and Industry,AR,Storage,Batteries,2019-Q2,13.323685,Power
Energy and Industry,AR,Storage,Batteries,2019-Q3,14.083533,Power
Energy and Industry,AR,Storage,Batteries,2019-Q4,0.759847,Power
Energy and Industry,AR,Storage,Batteries,2020-Q1,2.870535,Power
Energy and Industry,AR,Storage,Batteries,2020-Q2,3.419313,Power
Energy and Industry,AR,Storage,Batteries,2020-Q3,3.166031,Power
Energy and Industry,AR,Storage,Batteries,2020-Q4,3.799443,Power
Energy and Industry,AR,Storage,Batteries,2021-Q1,5.066268,Power
Energy and Industry,AR,Storage,Batteries,2021-Q2,5.066268,Power
Energy and Industry,AR,Storage,Batteries,2021-Q3,5.066268,Power
Energy and Industry,AR,Storage,Batteries,2021-Q4,3.377512,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2024-Q2,38.039564,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2024-Q3,57.059345,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2024-Q4,89.538335,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2025-Q1,105.777830,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2025-Q2,67.738266,Power
Energy and Industry,AZ,Hydrogen,Unknown Electrolysis,2024-Q2,40.699718,Industry
Energy and Industry,AZ,Hydrogen,Unknown Electrolysis,2024-Q3,63.463967,Industry
Energy and Industry,AZ,Hydrogen,Unknown Electrolysis,2024-Q4,63.463967,Industry
Energy and Industry,AZ,Hydrogen,Unknown Electrolysis,2025-Q1,62.084316,Industry
Energy and Industry,AZ,Hydrogen,Unknown Electrolysis,2025-Q2,62.774141,Industry
Energy and Industry,AZ,SAF,PtL,2021-Q4,0.479877,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q1,0.469445,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q2,0.474661,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q3,0.479877,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q4,0.349476,Transport
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q1,59.944486,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q2,22.296100,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q3,1.051558,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q4,1.360777,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q1,19.608576,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q2,136.463366,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q3,196.636615,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q4,241.622784,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2020-Q1,2.030753,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2020-Q3,162.838539,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2020-Q4,339.752982,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q1,146.571292,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q2,49.193456,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q3,40.011846,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q4,44.875105,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q1,46.901395,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q2,46.201374,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q3,76.095211,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q4,85.065432,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q1,117.296774,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q2,410.730838,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q3,895.571388,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q4,822.016917,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q1,564.367210,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q2,683.742549,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q3,548.102591,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q4,685.139508,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2025-Q1,1007.108526,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2025-Q2,651.161937,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q1,8.410559,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q2,0.934507,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q3,8.882457,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q4,13.323685,Power
Energy and Industry,AZ,Storage,Batteries,2020-Q2,5.409043,Power
Energy and Industry,AZ,Storage,Batteries,2020-Q3,16.227130,Power
Energy and Industry,AZ,Storage,Batteries,2020-Q4,20.734666,Power
Energy and Industry,AZ,Storage,Batteries,2021-Q1,29.749738,Power
Energy and Industry,AZ,Storage,Batteries,2021-Q2,13.522608,Power
Energy and Industry,AZ,Storage,Batteries,2021-Q3,13.522608,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q1,8.681608,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q2,10.708116,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q3,175.102494,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q4,434.622849,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q1,462.978901,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q2,409.110563,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q3,708.975908,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q4,700.899038,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q1,717.918365,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q2,902.764090,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q3,862.854565,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q4,1343.334555,Power
Energy and Industry,AZ,Storage,Batteries,2025-Q1,1669.103601,Power
Energy and Industry,AZ,Storage,Batteries,2025-Q2,1453.467645,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2020-Q3,298.069058,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2020-Q4,198.712705,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2022-Q2,72.102797,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2022-Q3,108.154196,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2022-Q4,108.154196,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q1,150.939061,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q2,170.578703,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q3,134.527304,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q4,134.527304,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2024-Q1,134.527304,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2024-Q2,42.784865,Power
Energy and Industry,CA,Carbon Management,Direct Air Capture,2022-Q2,0.372027,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2022-Q3,0.376116,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2022-Q4,7.003027,Carbon Removal
