"","status_type","state_type","quorum_id","bill_id","bill_name","sponsors_list","source_link","bill_description","bill_type_1","bill_type_2","bill_type_3","bill_type_4","bill_type_5","bill_type_6","issue_type_1","issue_type_2","issue_type_3","issue_type_4","issue_type_5","issue_type_6","is_yop","statename","statename2","statustype","statustype2"
"1",679,56,"3375577","S.F.4378","Hometown Hero Outdoors commissioner of veterans affairs grant appropriation","MN Sen. Judy Seeberger (D-MN-041)","https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF4378&ssn=0&y=2023","Outdoor Access and Equity","Outdoor Engagement",NA,NA,NA,NA,NA,"Environmental Justice","Land",NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
"2",679,69,"3322193","S.1607","Requires NJT to provide on-demand transit service in certain areas.","NJ Sen. Andrew Zwicker (D-NJ-016)","https://www.njleg.state.nj.us/bill-search/2024/S1607","","Public Transportation",NA,NA,NA,NA,NA,"Transportation",NA,NA,NA,NA,NA,-1,"New Jersey","new-jersey","Introduced or Prefiled","introduced-or-prefiled"
"3",679,56,"3237144","H.F.2571","Misleading claims regarding product or packaging recyclability prohibited, and recyclable materials list creation required.","MN Rep. Athena Hollins (D-MN-066B)","https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF2571&ssn=0&y=2023","Truth in Labeling","PFAS","Plastic Pollution",NA,NA,NA,NA,"Toxic Chemicals","Zero-Waste",NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
"4",679,64,"3275061","A.7340","Directs the department of health to conduct a study on the number of accidents involving non-electric bikes, electric bikes and electric scooters resulting in an individual receiving emergency medical services","NY Assemb. Jo Anne Simon (D-NY-052)","https://nyassembly.gov/leg/?bn=A7340&term=2023","","Active Transportation",NA,NA,NA,NA,NA,"Transportation",NA,NA,NA,NA,NA,-1,"New York","new-york","Introduced or Prefiled","introduced-or-prefiled"
"5",679,46,"3293857","S.B.149","Prohibit public utilities recovering political expenditure costs","OH Sen. Kent Smith (D-OH-021)","https://www.legislature.ohio.gov/legislation/135/sb149","","Utilities and the Grid",NA,NA,NA,NA,NA,"Climate","Energy",NA,NA,NA,NA,-1,"Ohio","ohio","Introduced or Prefiled","introduced-or-prefiled"
"6",679,49,"3123838","A.B.31","Public transit: funding.","CA Assemb. Juan Carrillo (D-CA-039)","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB31","","Public Transportation",NA,NA,NA,NA,NA,"Transportation",NA,NA,NA,NA,NA,-1,"California","california","Introduced or Prefiled","introduced-or-prefiled"
"7",679,56,"3223740","S.F.1864","Fergus Falls Riverfront Corridor project bond issue and appropriation","MN Sen. Jordan Rasmusson (R-MN-009)","https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF1864&ssn=0&y=2023","Funding","Outdoor Engagement",NA,NA,NA,NA,NA,"Land","Environmental Justice",NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
"8",679,56,"3393676","S.F.5385","Health and Human Services supplemental appropriations","MN Sen. Melissa Wiklund (D-MN-051)","https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF5385&ssn=0&y=2023","","Wildlife Disease",NA,NA,NA,NA,NA,"Wildlife",NA,NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
"9",679,56,"3372284","H.F.4032","Spring Hill; park improvements funding provided, bonds issued, and money appropriated.","","https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF4032&ssn=0&y=2023","Funding","Outdoor Engagement",NA,NA,NA,NA,NA,"Land","Environmental Justice",NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
"10",679,49,"3211737","S.B.378","State parks: state beaches: expanded polystyrene food container and cooler ban.","CA Sen. Lena Gonzalez (D-CA-033)","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB378","Polystyrene Bans","Plastic Pollution",NA,NA,NA,NA,NA,"Zero-Waste",NA,NA,NA,NA,NA,-1,"California","california","Introduced or Prefiled","introduced-or-prefiled"
"11",679,56,"3237096","H.F.2570","Entities authorized to use public roads for purpose of constructing, using, operating, and maintaining high-voltage transmission lines.","MN Rep. Erin Koegel (D-MN-039A)","https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF2570&ssn=0&y=2023","","Utilities and the Grid",NA,NA,NA,NA,NA,"Climate","Energy",NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
"12",679,56,"3398243","H.F.5423","Certain buildings required to meet energy performance standards, and money appropriated.","MN Rep. Larry Kraft (D-MN-046A)","https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF5423&ssn=0&y=2023","","Building Decarbonization",NA,NA,NA,NA,NA,"Climate","Energy",NA,NA,NA,NA,-1,"Minnesota","minnesota","Introduced or Prefiled","introduced-or-prefiled"
