Company,"City, State",City,State,LAT,LON,Project Type,Category,Technology,Source,Source for table,Project Size (text),Project Size ($),Total Jobs Expected,Facility Jobs,Construction Jobs,Grants,Loans,Status
Air Liquide,"Phoenix, AZ",Phoenix,AZ,33.3484367,-112.074141,New Facility,Materials,,https://www.businesswire.com/news/home/20220125005756/en/Air-Liquide-Announces-Long-Term-Agreement-to-Supply-Semiconductor-Manufacturing-Site-in-Arizona,[Source](https://www.businesswire.com/news/home/20220125005756/en/Air-Liquide-Announces-Long-Term-Agreement-to-Supply-Semiconductor-Manufacturing-Site-in-Arizona),$60 million,"$60,000,000 ",Not Available,,Not Available,,,
Amkor,"Peoria, AZ",Peoria,AZ,33.5806115,-112.237294,New Facility,Packaging,Advanced packaging,https://www.nist.gov/chips/amkor-technology-inc-arizona-peoria,[Source](https://www.nist.gov/chips/amkor-technology-inc-arizona-peoria),$1.7 billion,"$1,700,000,000 ",4000,2000,2000,$407 million,N/A,"Final Award (Dec. 20, 2024)"
ASM,"Scottsdale, AZ",Scottsdale,AZ,33.4942189,-111.926018,New Facility,R&D Facility,,https://www.asm.com/press-releases/2791329,[Source](https://www.asm.com/press-releases/2791329),$324 million,"$324,000,000 ",500,500,Not Available,,,
ASML,"Chandler, AZ",Chandler,AZ,33.2861605,-111.78125,Expansion,Equipment,,https://www.chandleraz.gov/news-center/semiconductor-equipment-manufacturer-plans-additional-hiring-growth-chandler-and-signs,[Source](https://www.chandleraz.gov/news-center/semiconductor-equipment-manufacturer-plans-additional-hiring-growth-chandler-and-signs),Not Available,Not Available,100,100,Not Available,,,
Chang Chun Group,"Casa Grande, AZ",Casa Grande,AZ,32.8795022,-111.657352,New Facility,Materials,,https://www.bizjournals.com/phoenix/news/2022/07/08/casa-grande-tsmc-chang-chun.html,[Source](https://www.bizjournals.com/phoenix/news/2022/07/08/casa-grande-tsmc-chang-chun.html),$400 million,"$400,000,000 ",209,209,Not Available,,,
Edwards Vacuum,"Chandler, AZ",Chandler,AZ,33.2061605,-111.84125,New Facility,Equipment,,https://www.bizjournals.com/phoenix/news/2022/03/03/semiconductor-supplier-to-open-manufacturing-facil.html,[Source](https://www.bizjournals.com/phoenix/news/2022/03/03/semiconductor-supplier-to-open-manufacturing-facil.html),Not Available,Not Available,200,200,Not Available,,,
EMD,"Chandler, AZ",Chandler,AZ,33.3061605,-111.94125,New Facility,Equipment,,https://www.emdgroup.com/en/news/chandler-opening-pr-us-11-10-23.html,[Source](https://www.emdgroup.com/en/news/chandler-opening-pr-us-11-10-23.html),$39 million,"$39,000,000 ",Not Available,,Not Available,,,
FM Industries,"Phoenix, AZ",Phoenix,AZ,33.3584367,-112.184141,New Facility,Equipment,,https://x.com/GPEC/status/1749832791372566697?s=20,[Source](https://x.com/GPEC/status/1749832791372566697?s=20),Not Available,Not Available,Not Available,Not Available,Not Available,,,
Fujifilm Electronic Materials,"Mesa, AZ",Mesa,AZ,33.4151117,-111.9314792,Expansion,Materials,,https://www.bizjournals.com/phoenix/news/2022/04/04/q-a-fujifilm-s-expanded-mesa-facility-will-help-t.html,[Source](https://www.bizjournals.com/phoenix/news/2022/04/04/q-a-fujifilm-s-expanded-mesa-facility-will-help-t.html),$88 million,"$88,000,000 ",120,120,Not Available,,,
Intel,"Chandler, AZ",Chandler,AZ,33.3062031,-111.841185,New/Modernization,Semiconductors,"Leading-edge logic, including Intel 18A",https://www.nist.gov/chips/intel-corporation-arizona-chandler,[Source](https://www.nist.gov/chips/intel-corporation-arizona-chandler),$32 billion,"$32,000,000,000 ",10000,3000,7000,$3.94 billion,N/A,"Final Award (Nov. 26, 2024)"
JX Nippon Mining & Metal,"Mesa, AZ",Mesa,AZ,33.4151117,-111.8314792,New Facility,Materials,,https://www.bizjournals.com/phoenix/news/2022/04/04/semiconductor-supplier-acquires-valley-land.html,[Source](https://www.bizjournals.com/phoenix/news/2022/04/04/semiconductor-supplier-acquires-valley-land.html),Not Available,Not Available,100,100,Not Available,,,
Kanto/Chemtrade JV,"Casa Grande, AZ",Casa Grande,AZ,32.8795022,-111.857352,New Facility,Materials,,https://www.bizjournals.com/phoenix/news/2022/11/23/deal-wrap-for-nov-22-deadline.html,[Source](https://www.bizjournals.com/phoenix/news/2022/11/23/deal-wrap-for-nov-22-deadline.html),$250 million,"$250,000,000 ",65,65,Not Available,,,
KoMiCo,"Mesa, AZ",Mesa,AZ,33.5151117,-111.6314792,New Facility,Equipment,,https://www.azcommerce.com/news-events/news/2024/8/komico-to-establish-semiconductor-equipment-cleaning-and-coating-facility-in-mesa/,[Source](https://www.azcommerce.com/news-events/news/2024/8/komico-to-establish-semiconductor-equipment-cleaning-and-coating-facility-in-mesa/),$50 million,"$50,000,000 ",200,200,,,,
LCY Chemical,"Casa Grande, AZ",Casa Grande,AZ,32.6795022,-111.657352,New Facility,Materials,,https://www.bizjournals.com/phoenix/news/2022/03/23/taiwanese-semiconductor-supplier-casa-grande.html,[Source](https://www.bizjournals.com/phoenix/news/2022/03/23/taiwanese-semiconductor-supplier-casa-grande.html),$100 million,"$100,000,000 ",57,57,,,,
Linde,"Phoenix, AZ",Phoenix,AZ,33.5484367,-112.074141,New Facility,Materials,,https://www.linde.com/news-media/press-releases/2021/linde-signs-long-term-agreement-to-supply-new-world-class-semiconductor-manufacturing-complex-in-the-u-s-,[Source](https://www.linde.com/news-media/press-releases/2021/linde-signs-long-term-agreement-to-supply-new-world-class-semiconductor-manufacturing-complex-in-the-u-s-),$600 million,"$600,000,000 ",Not Available,Not Available,,,,
Pentagon Technologies,"Mesa, AZ",Mesa,AZ,33.4151005,-111.831455,New Facility,Equipment,,https://www.azcommerce.com/news-events/news/2024/2/pentagon-technologies-to-build-semiconductor-equipment-cleaning-facility-in-mesa,[Source](https://www.azcommerce.com/news-events/news/2024/2/pentagon-technologies-to-build-semiconductor-equipment-cleaning-facility-in-mesa),$50 million,"$50,000,000 ",300,300,,,,
Pure Wafer,"Prescott, AZ",Prescott,AZ,34.539984,-112.468812,Expansion,Materials,Silicon wafer reclaim products,https://www.bizjournals.com/phoenix/news/2024/11/15/pure-wafer-expansion-prescott.html,[Source](https://www.bizjournals.com/phoenix/news/2024/11/15/pure-wafer-expansion-prescott.html),$30 million,"$30,000,000 ",,,,,,
Salas Micro Devices,"Chandler, AZ",Chandler,AZ,33.3132031,-111.731185,New Facility,Semiconductors,,https://www.azcommerce.com/news-events/news/2024/1/saras-micro-devices-celebrates-grand-opening-of-new-headquarters-and-manufacturing-center-of-excellence-in-chandler/,[Source](https://www.azcommerce.com/news-events/news/2024/1/saras-micro-devices-celebrates-grand-opening-of-new-headquarters-and-manufacturing-center-of-excellence-in-chandler/),$50 million,"$50,000,000 ",50,50,,,,
Solvay,"Casa Grande, AZ",Casa Grande,AZ,32.6795022,-111.857352,New Facility,Materials,,https://www.bizjournals.com/phoenix/news/2022/07/26/solvay-casa-grande-arizona-plant.html,[Source](https://www.bizjournals.com/phoenix/news/2022/07/26/solvay-casa-grande-arizona-plant.html),$60 million,"$60,000,000 ",30,30,,,,
Sunlit Chemical,"Phoenix, AZ",Phoenix,AZ,33.4484367,-112.174141,New Facility,Materials,,https://www.bizjournals.com/phoenix/news/2022/01/20/semiconductor-industry-supplier-north-phoenix.html,[Source](https://www.bizjournals.com/phoenix/news/2022/01/20/semiconductor-industry-supplier-north-phoenix.html),$100 million,"$100,000,000 ",Not Available,,,,,
TSMC,"Phoenix, AZ",Phoenix,AZ,33.784367,-111.674141,New Facility,Semiconductors,"6 leading-edge logic fabs, including TSMC N3, N4, and N5 FinFET process technologies, and N2 and A16 nanosheet process technologies; 2 advanced packaging facilities; R&D facility",https://pr.tsmc.com/english/news/3210,[Source](https://pr.tsmc.com/english/news/3210),$165 billion,"$165,000,000,000 ",55000,15000,40000,$6.6 billion,$5 billion,"Final Award (Nov. 15, 2024)"
Yield Engineering Systems,"Chandler, AZ",Chandler,AZ,33.3062031,-111.841185,New Facility,Equipment,,https://www.azcommerce.com/news-events/news/2023/7/yield-engineering-systems-opens-new-advanced-technology-center-in-chandler-to-support-semiconductor-growth-in-the-us/,[Source](https://www.azcommerce.com/news-events/news/2023/7/yield-engineering-systems-opens-new-advanced-technology-center-in-chandler-to-support-semiconductor-growth-in-the-us/),$25 million,"$25,000,000 ",100,100,Not Available,,,
